Date,2YO,3YO,4YO,5YO
2018-08-18,,,63282.10026021702,51959.34130283407
2018-08-19,84441.32882906534,82450.04064395616,62391.518478769925,
2018-08-20,,,62535.50124719918,50284.32843117284
2018-08-21,,78738.44092401199,,
2018-08-22,,81895.55048434048,,
2018-08-23,83758.52628011125,,,52176.33584856737
2018-08-24,82886.37512514472,,62665.934775765105,50323.07010171366
2018-08-25,,81809.18884375987,,
2018-08-26,,79938.0537391987,,
2018-08-28,,,61672.96197864431,52245.379567664335
2018-08-29,83204.09004131891,,63438.886564810455,50497.407619147416
2018-08-30,,80985.92834476715,,
2018-08-31,,79504.14617100169,,
2018-09-02,83534.02038471797,,62653.36094352827,50608.34967569614
2018-09-03,84628.70076411463,,,51889.53886154924
2018-09-04,,80233.69424176597,,
2018-09-05,86321.82925911265,79300.41877945358,,
2018-09-06,85031.28275027774,,64081.64609878337,50691.11597185157
2018-09-07,88313.32525449392,,61514.49885643117,51314.15965883559
2018-09-08,,79511.90002276114,,
2018-09-09,88438.77522624598,,,
2018-09-10,88242.8020271306,79265.87142806378,,
2018-09-11,92381.55568979,,64032.33851809504,50656.47371740045
2018-09-12,89859.4113928437,,61514.49885643117,
2018-09-13,91324.12457654349,,,
2018-09-14,93717.84565916398,78917.94493089811,,
2018-09-15,96380.09749212944,80166.16640105269,63819.57009218361,50538.035652206156
2018-09-16,97779.71231210922,,,
2018-09-17,94774.33785370298,,61544.08902175844,49089.47462718298
2018-09-18,97988.19726781375,,,
2018-09-19,100864.134783604,78731.80881379964,63555.21516378733,51289.14648620009
2018-09-20,98032.87261546472,80775.77860339687,,
2018-09-21,,,,48742.56155214524
2018-09-22,101574.40443062031,78499.35879055464,62415.35073165315,
2018-09-24,104440.2393408675,,,49806.32447206529
2018-09-25,103001.14356881678,,,
2018-09-26,105720.35647003722,81233.87819994496,62747.21078015465,
2018-09-27,104750.66209379151,78396.69336362142,61776.70059919224,
2018-09-28,,,,49807.70492645062
2018-09-29,106926.63517739491,,62172.54266713228,
2018-09-30,,80802.90292161354,,
2018-10-01,,78389.6494235231,,
2018-10-03,107056.22914220786,,61890.87596757991,49964.14081385797
2018-10-05,,79132.89503927979,,
2018-10-06,,,61488.37552695631,
